fg_id,bg_id,position,scale,label,img_name,mask_name
4535,367260,"[482, 281, 151, 126]",0.2627,0,dataset/composite/train_set/4535_367260_482_281_151_126_0.2627_0.jpg,dataset/composite/train_set/mask_4535_367260_482_281_151_126_0.2627_0.jpg
454397,352248,"[213, 375, 22, 69]",0.1389,0,dataset/composite/train_set/454397_352248_213_375_22_69_0.1389_0.jpg,dataset/composite/train_set/mask_454397_352248_213_375_22_69_0.1389_0.jpg
1638402,137573,"[186, 34, 161, 63]",0.2529,0,dataset/composite/train_set/1638402_137573_186_34_161_63_0.2529_0.jpg,dataset/composite/train_set/mask_1638402_137573_186_34_161_63_0.2529_0.jpg
1106077,126235,"[373, 180, 56, 89]",0.2389,0,dataset/composite/train_set/1106077_126235_373_180_56_89_0.2389_0.jpg,dataset/composite/train_set/mask_1106077_126235_373_180_56_89_0.2389_0.jpg
1115517,211850,"[122, 348, 235, 50]",0.3675,1,dataset/composite/train_set/1115517_211850_122_348_235_50_0.3675_1.jpg,dataset/composite/train_set/mask_1115517_211850_122_348_235_50_0.3675_1.jpg
1629077,126235,"[219, 259, 166, 95]",0.3326,0,dataset/composite/train_set/1629077_126235_219_259_166_95_0.3326_0.jpg,dataset/composite/train_set/mask_1629077_126235_219_259_166_95_0.3326_0.jpg
1107233,526360,"[188, 47, 47, 21]",0.1111,0,dataset/composite/train_set/1107233_526360_188_47_47_21_0.1111_0.jpg,dataset/composite/train_set/mask_1107233_526360_188_47_47_21_0.1111_0.jpg
323730,46650,"[386, 164, 36, 71]",0.1497,0,dataset/composite/train_set/323730_46650_386_164_36_71_0.1497_0.jpg,dataset/composite/train_set/mask_323730_46650_386_164_36_71_0.1497_0.jpg
1072803,202944,"[376, 232, 260, 149]",0.4074,1,dataset/composite/train_set/1072803_202944_376_232_260_149_0.4074_1.jpg,dataset/composite/train_set/mask_1072803_202944_376_232_260_149_0.4074_1.jpg
1051226,131725,"[147, 106, 198, 202]",0.6590,1,dataset/composite/train_set/1051226_131725_147_106_198_202_0.6590_1.jpg,dataset/composite/train_set/mask_1051226_131725_147_106_198_202_0.6590_1.jpg
